id,rmse,pck
match_41_002460_png_jpg.rf.d280a1d9c906c8cfd0e9a74222c49378,1008.3133373849876,0.0
match_41_005800_png_jpg.rf.309358818dfb6132431b7f53128d35b4,1003.422352287224,0.0
match_42_000940_png_jpg.rf.c0963ca66372942e818d57efd7430400,667.0512610838276,0.0
match_42_006140_png_jpg.rf.8f497592972d0652d92f7199935e2211,659.0657705630736,0.0
match_42_007300_png_jpg.rf.b81360acc17896579272d4845258e3c9,666.9058936075712,0.0
match_42_009100_png_jpg.rf.0448da518a8d6a5c14e4a7cae1adab2f,659.9700698616609,0.0
match_42_010640_png_jpg.rf.62585b131b0b235c9fb580c84094d862,666.4986536062228,0.0
match_42_012820_png_jpg.rf.a9affb47d8d0def177238140391dd81d,655.8178095846794,0.0
match_43_000080_png_jpg.rf.15c4952a42b64f06b5ee058c4ac50c10,683.0515654796449,0.0
match_43_001040_png_jpg.rf.3dc90ab5951fa93b4990d38c5f822923,660.6934090348362,0.0
match_43_006680_png_jpg.rf.bd2a11946da5cb98c981137345329273,653.0408933107593,0.0
match_43_010160_png_jpg.rf.3f31e3db2d9cd436b3c3ceae6fe07878,650.1006728290239,0.0
match_43_014040_png_jpg.rf.143a3e8e5f07aeca5f9ad8988e7d80e5,660.4881885795734,0.0
match_44_000280_png_jpg.rf.c95591807e45b7fa67671d3b4c26bc18,654.1270100132223,0.0
match_44_001160_png_jpg.rf.b77abe609dc6209898e4295f3ff73c75,649.4687722997583,0.0
match_44_001720_png_jpg.rf.aec0c0482dc8c9404cfd5e2c6dd952dc,646.535258317775,0.0
match_44_003320_png_jpg.rf.9134802d7193b6996902833b9fdda920,659.7667325241879,0.0
match_45_000400_png_jpg.rf.baa1a084431d545cd0441baf4e306443,973.0494555934653,0.0
match_45_005880_png_jpg.rf.989ef6e1f2fb05e13825b38ce6d9e9a2,962.0641034769425,0.0
match_46_000880_png_jpg.rf.8fc6313c58cfe96a4ab4342102720f8f,640.4184940905841,0.0
match_46_003240_png_jpg.rf.e38e6dbea6ac0c9b8e2d490b47450431,644.5910603158903,0.0
match_46_007840_png_jpg.rf.2047df5cff507ec6aa13b7621285490d,650.1402079984305,0.0
match_47_000000_png_jpg.rf.8e67424f183a7dd5ded5cbb16670a935,642.5493500629022,0.0
match_47_002760_png_jpg.rf.95c63cd1a4fe98c6477a9d40a6e5f28a,645.9514042945656,0.0
match_47_003880_png_jpg.rf.5f5e8d115f58402d85d1900e5df8e804,646.5096584673767,0.0
match_48_000320_png_jpg.rf.485ec005d5aa4768a5fe1dce48570bd6,644.9924657599728,0.0
match_48_001080_png_jpg.rf.aa1b027e2f9070f5603c5f84dd6d56fc,639.2085538228508,0.0
match_48_001520_png_jpg.rf.1a116a8ce0e2efc4e629174fa8f48068,624.3594489585715,0.0
match_48_003240_png_jpg.rf.0f36bbbfeecc09a8272c7e000e6ccaa5,634.8737147527023,0.0
match_48_003480_png_jpg.rf.ffb0bcf9d0e05cb4624dd3ced59bf74e,631.1816538211017,0.0
match_48_004000_png_jpg.rf.9b1f7fe837c7cab5a2f94b77375f4902,633.3674895107914,0.0
match_49_001160_png_jpg.rf.920a8a7e00dff736811077daf17f6eb6,967.4900594023505,0.0
match_49_004240_png_jpg.rf.754b7af1e854818e4cadc4a64a4a8e44,980.1979677422586,0.0
match_49_007000_png_jpg.rf.77e643d538f98cd3870ad0ab6a65df45,999.9443178800884,0.0
match_50_002360_png_jpg.rf.e1711a52b197c65d72db3b66f3cdfcf1,656.2913846261073,0.0
match_50_010000_png_jpg.rf.e52d96b3b28d6ec4878f8011ab24ca28,645.4733726892484,0.0
match_51_000000_png_jpg.rf.b233aad366cf1f2c93e20e69a8c48830,629.1267370409638,0.0
match_51_018160_png_jpg.rf.c7d4997c444776c00abc32696491893e,639.3221393274231,0.0
match_52_000040_png_jpg.rf.f40846e305fbb5afc772e526abfac800,941.1682163579303,0.0
match_52_002080_png_jpg.rf.4a561892bc91aace37996e94a389eeb4,938.0200120116388,0.0
match_52_013120_png_jpg.rf.206af922bd171b49e1758d2da7eb49b5,941.3778371441952,0.0
match_52_015760_png_jpg.rf.cafbf3574756ddcadf954f78f1484ea9,943.365488846138,0.0
match_52_021960_png_jpg.rf.e366e411629a73944fc929009a2c2e3b,926.6956543513114,0.0
match_52_022320_png_jpg.rf.8a9e8ac2a098b9d5b698e6f5696e2ff0,943.829422830891,0.0
match_52_023600_png_jpg.rf.848545f802c0b4abbf7f2566892eb0e7,948.7057417251451,0.0
match_52_033360_png_jpg.rf.5ad451bbaa64602663f4945478d14a00,949.2062113624007,0.0
match_53_000000_png_jpg.rf.5c88938498c3c12960aa32ba8fa1a979,635.1299734462767,0.0
match_53_005640_png_jpg.rf.4d3ee8a7a153a5147a51261b898bda80,633.1035093684404,0.0
match_54_000080_png_jpg.rf.bad5ff5f9b6d4d348d0333cf49a96248,705.7885814800162,0.0
match_54_000360_png_jpg.rf.4f320813468032506ed4e44aa2de015f,674.4208290757418,0.0
match_54_002600_png_jpg.rf.b442708fb8e0ccb0132a29dd1415304b,693.3761491409045,0.0
match_54_005440_png_jpg.rf.53d6e866c9e6beb4e1a7a64177947553,683.818601538612,0.0
match_55_000000_png_jpg.rf.2ced44fbc243ea2db04727750c95fbb3,653.2782946787631,0.0
match_55_000840_png_jpg.rf.1ede520af1ffa0f7ea627d9ab4cc3cf7,656.4844784367604,0.0
match_55_004000_png_jpg.rf.67ce6180a208f9db98f15ac456d9b017,653.9446260691952,0.0
match_55_015960_png_jpg.rf.3e3c31c8d02f055562a081cd7706a98d,659.6600055928953,0.0
match_56_000040_png_jpg.rf.a657009517b3df02e87641cee64b440f,988.8545722759474,0.0
match_56_001560_png_jpg.rf.33950ead868afb20ecd5ab9638a4781f,1002.2953908183234,0.0
match_56_005480_png_jpg.rf.b13857b318fe3a7d006f6fd491d114ac,990.2019544305139,0.0
match_57_000040_png_jpg.rf.73a13f4236886553477d43ed7a9a5e16,663.6902576355484,0.0
match_57_003800_png_jpg.rf.32dde3d883d2b01a19bf764247b0edd4,658.76564735453,0.0
match_58_000080_png_jpg.rf.57a8e09012aaf46539293a7da5d59031,654.4833692466652,0.0
match_58_002520_png_jpg.rf.681bcbe04afd7cdee54e984d27134118,656.2662067087706,0.0
match_58_004240_png_jpg.rf.c7919aeacfc02a68297b8cdcb7ad3a75,647.611971693629,0.0
match_58_006520_png_jpg.rf.b560f33972f3e2ae6295c8ba843b0fc1,647.106879597044,0.0
match_59_000040_png_jpg.rf.e23f869e65c8c94cc2620f2e2f926d5a,647.7409092593704,0.0
match_59_006560_png_jpg.rf.346d15dbf4ad91c31f7f39612fa96acc,646.2431322293518,0.0
match_60_000120_png_jpg.rf.aefb1f061b70f58af3858ae480cc75c7,948.0429505480699,0.0
match_60_001400_png_jpg.rf.bb76098922800e316576eb9b1f3ea3c2,958.8566718212937,0.0
match_60_003720_png_jpg.rf.e4e830b1753e002029a7a6a23884d860,948.2675434464006,0.0
match_61_000080_png_jpg.rf.69712d4fdf0feaeac62e698af481cf04,958.4967374002036,0.0
match_61_001960_png_jpg.rf.733eb771ee3e1fc5ba4b3a1c1505969e,958.818116970502,0.0
match_61_003720_png_jpg.rf.7d62e6f466c29c7a0d8b22863b630ba4,947.8325570626372,0.0
match_62_000080_png_jpg.rf.676eabd26cfeb43790b9929842ba11d7,630.4682713711054,0.0
match_62_001120_png_jpg.rf.6b10e4c26e0742969624161d76f26fc1,631.2607831906228,0.0
match_62_003960_png_jpg.rf.9e9ab5a54115df435571b6aa60b5baff,630.0470888060645,0.0
match_62_005960_png_jpg.rf.daffc2423273034ba98fd7483cd88591,630.6681875697938,0.0
match_63_000000_png_jpg.rf.7209dfff8a0ddd468da0e6aeae3bc006,942.3982168091152,0.0
match_63_001160_png_jpg.rf.9da09317b0d16b51e875a767c0c09920,969.6793040089605,0.0
match_63_002040_png_jpg.rf.e7dcc50f8ebdd288a576a1b32bed2264,952.3667120986664,0.0
match_64_000080_png_jpg.rf.a1e5d00d53ba3192c111656105422808,636.4457270524128,0.0
match_64_003520_png_jpg.rf.ab0e2b9bcf8520f2d94133cae106d9d6,632.673856038465,0.0
match_65_000080_png_jpg.rf.ea4967bdb43f6b640c655c242ff3704d,628.5656178929326,0.0
match_65_003800_png_jpg.rf.4bb8e0eb0f0967459ff975cba45f1e0a,630.7244874292636,0.0
match_66_000000_png_jpg.rf.012ecd954eb746b132420879d321bedb,635.792915395092,0.0
match_66_000800_png_jpg.rf.894197ec2d4d94bb12037fba2945b36b,635.4048848865526,0.0
match_66_003080_png_jpg.rf.6e0c24ab9bcd1502bf2459f214a0d9f0,638.2168621493935,0.0
match_66_005960_png_jpg.rf.278f9509ad5a6acf36dbf96a953db634,635.2068561151934,0.0
match_67_000000_png_jpg.rf.069cfe28af1b87804a2d93f158e97912,640.9015451639438,0.0
match_67_000840_png_jpg.rf.be89c7c87a417ea959e4695b7677296a,658.9023716532344,0.0
match_67_003040_png_jpg.rf.b6e685e4c6699b7d1ad7ec881a58f308,655.7952921202669,0.0
match_67_008760_png_jpg.rf.3a213505ab9c7a79b478c5e3f80d5881,647.9188848509856,0.0
match_67_013120_png_jpg.rf.29e81752464bbf07151cf177ff7d44f2,641.6661948112071,0.0
match_68_000000_png_jpg.rf.9b6184d4e8ec08bb1fae3b815ad57380,662.4216241770392,0.0
match_68_002840_png_jpg.rf.b8a3f76fdc63dd19a54ef2552eb90ec4,649.2296064223914,0.0
match_68_006840_png_jpg.rf.e12845f8ccc1759c4f6552abc3352ddb,651.5302266488247,0.0
match_69_000040_png_jpg.rf.eee84377ba975b4ab66c8971e3d0644d,680.8692715131264,0.0
match_69_002800_png_jpg.rf.858a847ce1b45f8f2d2868ded27eb88e,678.4932788330606,0.0
match_69_005000_png_jpg.rf.f4165932faad6c24fe46966588f495bc,678.0904064628984,0.0
match_69_006640_png_jpg.rf.064dad635b5e37a32d79aa4da1ffec5e,681.4733278894088,0.0
match_70_000080_png_jpg.rf.76e7c340fb36a38c6c68a6db1572e020,673.2194494385122,0.0
match_70_006560_png_jpg.rf.a98f993c90f7d97733d88de035715c92,669.0462270248058,0.0
match_71_000000_png_jpg.rf.c237e471bf49469e521e16006863d0da,644.2878435972989,0.0
match_71_002080_png_jpg.rf.0baa6be95a8c6586dae5ac643011aa48,637.835841442114,0.0
match_71_006360_png_jpg.rf.882587ac6bba7320c0b98e73cc916bc4,651.0355729333376,0.0
match_72_001360_png_jpg.rf.2052b2d047c7b6e9bf077bfd85f163b6,654.9395130980115,0.0
match_72_009240_png_jpg.rf.83afc5a025e7eb922a3b3cce0fdc2c15,644.1651519372122,0.0
match_72_017200_png_jpg.rf.268ef3b9a43b7b458275b49c7d1bcc92,672.0596405997939,0.0
test_image_10_png_jpg.rf.f386fada46acf435705be598393d8e26,996.6412004599924,0.0
test_image_1_png_jpg.rf.c637dc1f7f9f7e7cef2e24332a372625,997.0109183388853,0.0
test_image_2_png_jpg.rf.61bf2789909810d5bac9b70fe781afa7,990.142348034885,0.0
test_image_3_png_jpg.rf.a03e7ed5d60842b2f45ecb1cb1bb854d,930.5393349856489,0.0
test_image_4_png_jpg.rf.723e298b3ad6033d5a42d7560fee4dde,1006.7603531539035,0.0
test_image_5_png_jpg.rf.56d99455224dd81fb9f0ee0c16b3dd1e,978.6285876426638,0.0
test_image_6_png_jpg.rf.dfe281d1b16fbab64b7f056134442133,947.0483975359338,0.0
test_image_7_png_jpg.rf.59537d4fe639f425553860002d6475fd,1006.8969623045363,0.0
test_image_8_png_jpg.rf.2b8f3610b0368da35c5ed0915477dc4f,974.4100017129695,0.0
test_image_9_png_jpg.rf.6f6ebc474c2c171caa429bea4e4a393c,955.2284154459318,0.0
